Date,Price
12/31/2024,8.04
12/31/2023,
12/31/2022,
12/31/2021,143.070007
12/31/2020,111.51
12/31/2019,3.98
12/31/2018,36.8
12/31/2017,
12/31/2016,
12/31/2015,167.8
12/31/2014,118.6
12/31/2013,102.4
12/31/2012,37.8
12/31/2011,
12/31/2010,48.6
12/31/2009,53.2
12/31/2008,37.8
12/31/2007,66.6
12/31/2006,
12/31/2005,
12/31/2004,65.2
12/31/2003,120.0
12/31/2002,52.0
12/31/2001,282.0
12/31/2000,
12/31/1999,112.5
12/31/1998,38.75
12/31/1997,100.0
12/31/1996,68.75
12/31/1995,
12/30/2024,7.93
12/30/2023,
12/30/2022,10.28
12/30/2021,154.83
12/30/2020,118.96
12/30/2019,4.0
12/30/2018,
12/30/2017,
12/30/2016,25.2
12/30/2015,167.0
12/30/2014,116.4
12/30/2013,103.2
12/30/2012,
12/30/2011,25.2
12/30/2010,51.0
12/30/2009,51.6
12/30/2008,37.2
12/30/2007,
12/30/2006,
12/30/2005,77.0
12/30/2004,66.2
12/30/2003,121.6
12/30/2002,46.0
12/30/2001,
12/30/2000,
12/30/1999,115.0
12/30/1998,37.5
12/30/1997,102.5
12/30/1996,63.75
12/30/1995,
12/29/2024,
12/29/2023,4.8
12/29/2022,9.72
12/29/2021,153.25
12/29/2020,120.27
12/29/2019,
12/29/2018,
12/29/2017,24.8
12/29/2016,25.8
12/29/2015,173.8
12/29/2014,119.6
12/29/2013,
12/29/2012,
12/29/2011,25.0
12/29/2010,53.0
12/29/2009,53.2
12/29/2008,38.0
12/29/2007,
12/29/2006,82.0
12/29/2005,78.4
12/29/2004,65.0
12/29/2003,117.0
12/29/2002,
12/29/2001,
12/29/2000,170.0
12/29/1999,118.75
12/29/1998,37.5
12/29/1997,100.0
12/29/1996,
12/29/1995,75.0
12/28/2024,
12/28/2023,4.91
12/28/2022,9.06
12/28/2021,155.84
12/28/2020,116.85
12/28/2019,
12/28/2018,36.8
12/28/2017,26.0
12/28/2016,26.0
12/28/2015,165.60001
12/28/2014,
12/28/2013,
12/28/2012,36.4
12/28/2011,25.0
12/28/2010,53.4
12/28/2009,55.0
12/28/2008,
12/28/2007,67.0
12/28/2006,74.6
12/28/2005,78.2
12/28/2004,66.6
12/28/2003,
12/28/2002,
12/28/2001,280.0
12/28/2000,179.0
12/28/1999,111.25
12/28/1998,37.5
12/28/1997,
12/28/1996,
12/28/1995,72.5
12/27/2024,8.28
12/27/2023,4.94
12/27/2022,8.86
12/27/2021,157.8
12/27/2020,
12/27/2019,3.99
12/27/2018,37.6
12/27/2017,25.2
12/27/2016,26.4
12/27/2015,
12/27/2014,
12/27/2013,102.6
12/27/2012,36.6
12/27/2011,25.4
12/27/2010,53.2
12/27/2009,
12/27/2008,
12/27/2007,68.4
12/27/2006,77.2
12/27/2005,80.4
12/27/2004,67.0
12/27/2003,
12/27/2002,54.8
12/27/2001,270.20001
12/27/2000,180.0
12/27/1999,113.75
12/27/1998,
12/27/1997,
12/27/1996,65.0
12/27/1995,70.0
12/26/2024,8.47
12/26/2023,5.05
12/26/2022,
12/26/2021,
12/26/2020,
12/26/2019,4.0
12/26/2018,40.0
12/26/2017,23.8
12/26/2016,
12/26/2015,
12/26/2014,118.4
12/26/2013,102.6
12/26/2012,37.2
12/26/2011,
12/26/2010,
12/26/2009,
12/26/2008,39.8
12/26/2007,68.2
12/26/2006,79.8
12/26/2005,
12/26/2004,
12/26/2003,115.4
12/26/2002,58.8
12/26/2001,279.0
12/26/2000,184.0
12/26/1999,
12/26/1998,
12/26/1997,96.25
12/26/1996,65.0
12/26/1995,70.0
12/25/2024,
12/25/2023,
12/25/2022,
12/25/2021,
12/25/2020,
12/25/2019,
12/25/2018,
12/25/2017,
12/25/2016,
12/25/2015,
12/25/2014,
12/25/2013,
12/25/2012,
12/25/2011,
12/25/2010,
12/25/2009,
12/25/2008,
12/25/2007,
12/25/2006,
12/25/2005,
12/25/2004,
12/25/2003,
12/25/2002,
12/25/2001,
12/25/2000,
12/25/1999,
12/25/1998,
12/25/1997,
12/25/1996,
12/25/1995,
12/24/2024,8.51
12/24/2023,
12/24/2022,
12/24/2021,
12/24/2020,129.34
12/24/2019,4.0
12/24/2018,34.6
12/24/2017,
12/24/2016,
12/24/2015,169.60001
12/24/2014,116.2
12/24/2013,101.6
12/24/2012,38.6
12/24/2011,
12/24/2010,
12/24/2009,57.4
12/24/2008,40.4
12/24/2007,71.8
12/24/2006,
12/24/2005,
12/24/2004,
12/24/2003,114.8
12/24/2002,57.2
12/24/2001,280.0
12/24/2000,
12/24/1999,
12/24/1998,37.5
12/24/1997,95.0
12/24/1996,61.25
12/24/1995,
12/23/2024,8.64
12/23/2023,
12/23/2022,9.66
12/23/2021,177.25
12/23/2020,127.65
12/23/2019,4.0
12/23/2018,
12/23/2017,
12/23/2016,27.8
12/23/2015,167.2
12/23/2014,112.6
12/23/2013,100.8
12/23/2012,
12/23/2011,25.4
12/23/2010,52.2
12/23/2009,56.4
12/23/2008,40.4
12/23/2007,
12/23/2006,
12/23/2005,83.6
12/23/2004,68.0
12/23/2003,111.6
12/23/2002,57.0
12/23/2001,
12/23/2000,
12/23/1999,115.0
12/23/1998,35.0
12/23/1997,100.0
12/23/1996,60.0
12/23/1995,
12/22/2024,
12/22/2023,5.06
12/22/2022,10.27
12/22/2021,183.3
12/22/2020,115.37
12/22/2019,
12/22/2018,
12/22/2017,23.2
12/22/2016,26.4
12/22/2015,165.60001
12/22/2014,118.8
12/22/2013,
12/22/2012,
12/22/2011,25.2
12/22/2010,52.2
12/22/2009,57.6
12/22/2008,42.6
12/22/2007,
12/22/2006,79.4
12/22/2005,79.4
12/22/2004,65.6
12/22/2003,105.8
12/22/2002,
12/22/2001,
12/22/2000,180.0
12/22/1999,117.5
12/22/1998,35.0
12/22/1997,97.5
12/22/1996,
12/22/1995,73.75
12/21/2024,
12/21/2023,4.94
12/21/2022,10.38
12/21/2021,191.070007
12/21/2020,124.059998
12/21/2019,
12/21/2018,38.0
12/21/2017,23.0
12/21/2016,27.6
12/21/2015,172.2
12/21/2014,
12/21/2013,
12/21/2012,38.8
12/21/2011,25.6
12/21/2010,51.8
12/21/2009,59.4
12/21/2008,
12/21/2007,70.8
12/21/2006,80.4
12/21/2005,82.4
12/21/2004,66.4
12/21/2003,
12/21/2002,
12/21/2001,291.0
12/21/2000,184.0
12/21/1999,115.0
12/21/1998,33.75
12/21/1997,
12/21/1996,
12/21/1995,82.5
12/20/2024,8.7
12/20/2023,4.91
12/20/2022,10.52
12/20/2021,201.95
12/20/2020,
12/20/2019,4.01
12/20/2018,41.0
12/20/2017,22.4
12/20/2016,28.4
12/20/2015,
12/20/2014,
12/20/2013,98.6
12/20/2012,40.2
12/20/2011,25.4
12/20/2010,51.8
12/20/2009,
12/20/2008,
12/20/2007,71.2
12/20/2006,80.8
12/20/2005,82.8
12/20/2004,67.0
12/20/2003,
12/20/2002,57.0
12/20/2001,287.0
12/20/2000,182.39999
12/20/1999,117.5
12/20/1998,
12/20/1997,
12/20/1996,63.75
12/20/1995,72.5
12/19/2024,8.68
12/19/2023,5.23
12/19/2022,10.32
12/19/2021,
12/19/2020,
12/19/2019,4.01
12/19/2018,43.2
12/19/2017,21.8
12/19/2016,28.0
12/19/2015,
12/19/2014,119.4
12/19/2013,93.6
12/19/2012,40.4
12/19/2011,25.8
12/19/2010,
12/19/2009,
12/19/2008,44.0
12/19/2007,67.6
12/19/2006,81.4
12/19/2005,90.6
12/19/2004,
12/19/2003,107.2
12/19/2002,57.0
12/19/2001,283.0
12/19/2000,182.0
12/19/1999,
12/19/1998,
12/19/1997,101.25
12/19/1996,62.5
12/19/1995,66.25
12/18/2024,8.63
12/18/2023,5.16
12/18/2022,
12/18/2021,
12/18/2020,124.85
12/18/2019,3.96
12/18/2018,43.2
12/18/2017,29.8
12/18/2016,
12/18/2015,170.60001
12/18/2014,118.4
12/18/2013,90.2
12/18/2012,38.2
12/18/2011,
12/18/2010,
12/18/2009,50.6
12/18/2008,44.0
12/18/2007,66.8
12/18/2006,83.0
12/18/2005,
12/18/2004,
12/18/2003,107.8
12/18/2002,66.2
12/18/2001,276.0
12/18/2000,184.0
12/18/1999,
12/18/1998,33.75
12/18/1997,103.75
12/18/1996,63.75
12/18/1995,67.5
12/17/2024,9.0
12/17/2023,
12/17/2022,
12/17/2021,217.32001
12/17/2020,131.75
12/17/2019,3.99
12/17/2018,45.4
12/17/2017,
12/17/2016,
12/17/2015,173.39999
12/17/2014,118.2
12/17/2013,89.4
12/17/2012,37.6
12/17/2011,
12/17/2010,51.0
12/17/2009,53.4
12/17/2008,47.0
12/17/2007,66.4
12/17/2006,
12/17/2005,
12/17/2004,69.6
12/17/2003,101.4
12/17/2002,69.8
12/17/2001,275.0
12/17/2000,
12/17/1999,118.75
12/17/1998,36.25
12/17/1997,98.75
12/17/1996,61.25
12/17/1995,
12/16/2024,9.23
12/16/2023,
12/16/2022,11.03
12/16/2021,194.92
12/16/2020,120.88
12/16/2019,4.0
12/16/2018,
12/16/2017,
12/16/2016,28.0
12/16/2015,175.39999
12/16/2014,112.0
12/16/2013,92.2
12/16/2012,
12/16/2011,26.6
12/16/2010,52.8
12/16/2009,57.0
12/16/2008,47.4
12/16/2007,
12/16/2006,
12/16/2005,89.4
12/16/2004,69.2
12/16/2003,104.6
12/16/2002,68.2
12/16/2001,
12/16/2000,
12/16/1999,117.5
12/16/1998,33.75
12/16/1997,97.5
12/16/1996,63.75
12/16/1995,
12/15/2024,
12/15/2023,5.4
12/15/2022,11.32
12/15/2021,179.49001
12/15/2020,126.22
12/15/2019,
12/15/2018,
12/15/2017,27.6
12/15/2016,28.0
12/15/2015,164.2
12/15/2014,112.6
12/15/2013,
12/15/2012,
12/15/2011,26.8
12/15/2010,51.2
12/15/2009,58.0
12/15/2008,46.0
12/15/2007,
12/15/2006,93.6
12/15/2005,87.8
12/15/2004,71.4
12/15/2003,109.6
12/15/2002,
12/15/2001,
12/15/2000,184.0
12/15/1999,115.0
12/15/1998,36.25
12/15/1997,95.0
12/15/1996,
12/15/1995,67.5
12/14/2024,
12/14/2023,5.69
12/14/2022,17.23
12/14/2021,168.42999
12/14/2020,129.7
12/14/2019,
12/14/2018,48.2
12/14/2017,26.6
12/14/2016,25.8
12/14/2015,148.60001
12/14/2014,
12/14/2013,
12/14/2012,36.0
12/14/2011,27.0
12/14/2010,49.4
12/14/2009,57.6
12/14/2008,
12/14/2007,68.6
12/14/2006,94.4
12/14/2005,88.0
12/14/2004,68.0
12/14/2003,
12/14/2002,
12/14/2001,270.20001
12/14/2000,183.60001
12/14/1999,112.5
12/14/1998,42.5
12/14/1997,
12/14/1996,
12/14/1995,75.0
12/13/2024,9.11
12/13/2023,5.36
12/13/2022,17.21
12/13/2021,169.059998
12/13/2020,
12/13/2019,4.03
12/13/2018,46.0
12/13/2017,26.4
12/13/2016,26.8
12/13/2015,
12/13/2014,
12/13/2013,77.4
12/13/2012,35.6
12/13/2011,26.2
12/13/2010,47.0
12/13/2009,
12/13/2008,
12/13/2007,71.0
12/13/2006,95.4
12/13/2005,96.2
12/13/2004,65.8
12/13/2003,
12/13/2002,70.4
12/13/2001,277.0
12/13/2000,184.0
12/13/1999,107.5
12/13/1998,
12/13/1997,
12/13/1996,67.5
12/13/1995,77.5
12/12/2024,9.02
12/12/2023,5.31
12/12/2022,16.37
12/12/2021,
12/12/2020,
12/12/2019,3.99
12/12/2018,49.6
12/12/2017,26.2
12/12/2016,27.0
12/12/2015,
12/12/2014,115.2
12/12/2013,79.0
12/12/2012,36.8
12/12/2011,28.0
12/12/2010,
12/12/2009,
12/12/2008,46.4
12/12/2007,72.2
12/12/2006,98.6
12/12/2005,81.4
12/12/2004,
12/12/2003,109.8
12/12/2002,76.2
12/12/2001,264.0
12/12/2000,183.0
12/12/1999,
12/12/1998,
12/12/1997,95.0
12/12/1996,63.75
12/12/1995,95.0
12/11/2024,8.82
12/11/2023,5.57
12/11/2022,
12/11/2021,
12/11/2020,124.88
12/11/2019,4.09
12/11/2018,44.6
12/11/2017,27.6
12/11/2016,
12/11/2015,154.60001
12/11/2014,118.6
12/11/2013,81.2
12/11/2012,35.6
12/11/2011,
12/11/2010,
12/11/2009,58.4
12/11/2008,43.0
12/11/2007,77.0
12/11/2006,100.2
12/11/2005,
12/11/2004,
12/11/2003,110.4
12/11/2002,75.6
12/11/2001,266.0
12/11/2000,185.0
12/11/1999,
12/11/1998,37.5
12/11/1997,97.5
12/11/1996,66.25
12/11/1995,87.5
12/10/2024,8.77
12/10/2023,
12/10/2022,
12/10/2021,166.56
12/10/2020,115.089996
12/10/2019,4.17
12/10/2018,42.8
12/10/2017,
12/10/2016,
12/10/2015,165.0
12/10/2014,114.8
12/10/2013,83.8
12/10/2012,34.4
12/10/2011,
12/10/2010,46.8
12/10/2009,60.8
12/10/2008,46.6
12/10/2007,82.6
12/10/2006,
12/10/2005,
12/10/2004,67.6
12/10/2003,109.0
12/10/2002,73.2
12/10/2001,259.60001
12/10/2000,
12/10/1999,107.5
12/10/1998,38.75
12/10/1997,100.0
12/10/1996,67.5
12/10/1995,
12/09/2024,9.07
12/09/2023,
12/09/2022,16.51
12/09/2021,177.38
12/09/2020,115.22
12/09/2019,4.16
12/09/2018,
12/09/2017,
12/09/2016,29.2
12/09/2015,159.39999
12/09/2014,111.0
12/09/2013,85.2
12/09/2012,
12/09/2011,28.6
12/09/2010,45.4
12/09/2009,61.2
12/09/2008,46.2
12/09/2007,
12/09/2006,
12/09/2005,81.4
12/09/2004,65.2
12/09/2003,113.0
12/09/2002,75.4
12/09/2001,
12/09/2000,
12/09/1999,108.75
12/09/1998,37.5
12/09/1997,101.25
12/09/1996,67.5
12/09/1995,
12/08/2024,
12/08/2023,5.57
12/08/2022,17.32
12/08/2021,181.75
12/08/2020,120.12
12/08/2019,
12/08/2018,
12/08/2017,28.6
12/08/2016,28.6
12/08/2015,165.60001
12/08/2014,109.8
12/08/2013,
12/08/2012,
12/08/2011,28.4
12/08/2010,44.6
12/08/2009,63.8
12/08/2008,44.4
12/08/2007,
12/08/2006,99.4
12/08/2005,77.4
12/08/2004,63.6
12/08/2003,110.6
12/08/2002,
12/08/2001,
12/08/2000,185.0
12/08/1999,102.5
12/08/1998,40.0
12/08/1997,98.75
12/08/1996,
12/08/1995,82.5
12/07/2024,
12/07/2023,5.53
12/07/2022,17.22
12/07/2021,182.85001
12/07/2020,123.12
12/07/2019,
12/07/2018,41.0
12/07/2017,28.2
12/07/2016,26.6
12/07/2015,161.39999
12/07/2014,
12/07/2013,
12/07/2012,35.6
12/07/2011,29.4
12/07/2010,45.0
12/07/2009,65.4
12/07/2008,
12/07/2007,79.0
12/07/2006,98.4
12/07/2005,70.0
12/07/2004,63.8
12/07/2003,
12/07/2002,
12/07/2001,259.0
12/07/2000,180.8
12/07/1999,106.25
12/07/1998,41.25
12/07/1997,
12/07/1996,
12/07/1995,90.0
12/06/2024,8.94
12/06/2023,5.58
12/06/2022,16.78
12/06/2021,141.86
12/06/2020,
12/06/2019,4.35
12/06/2018,40.2
12/06/2017,28.4
12/06/2016,29.2
12/06/2015,
12/06/2014,
12/06/2013,84.6
12/06/2012,35.8
12/06/2011,30.2
12/06/2010,44.6
12/06/2009,
12/06/2008,
12/06/2007,78.0
12/06/2006,100.4
12/06/2005,71.2
12/06/2004,66.2
12/06/2003,
12/06/2002,76.6
12/06/2001,262.60001
12/06/2000,179.8
12/06/1999,103.75
12/06/1998,
12/06/1997,
12/06/1996,68.75
12/06/1995,85.0
12/05/2024,8.3
12/05/2023,5.59
12/05/2022,17.61
12/05/2021,
12/05/2020,
12/05/2019,4.55
12/05/2018,
12/05/2017,29.2
12/05/2016,25.8
12/05/2015,
12/05/2014,109.4
12/05/2013,80.8
12/05/2012,36.4
12/05/2011,29.2
12/05/2010,
12/05/2009,
12/05/2008,42.0
12/05/2007,73.4
12/05/2006,99.2
12/05/2005,73.6
12/05/2004,
12/05/2003,114.2
12/05/2002,78.6
12/05/2001,250.39999
12/05/2000,180.0
12/05/1999,
12/05/1998,
12/05/1997,87.5
12/05/1996,67.5
12/05/1995,80.0
12/04/2024,8.3
12/04/2023,5.75
12/04/2022,
12/04/2021,
12/04/2020,126.25
12/04/2019,4.88
12/04/2018,40.6
12/04/2017,28.6
12/04/2016,
12/04/2015,174.39999
12/04/2014,107.0
12/04/2013,80.2
12/04/2012,37.4
12/04/2011,
12/04/2010,
12/04/2009,65.4
12/04/2008,36.8
12/04/2007,72.2
12/04/2006,100.4
12/04/2005,
12/04/2004,
12/04/2003,113.8
12/04/2002,76.8
12/04/2001,261.0
12/04/2000,173.2
12/04/1999,
12/04/1998,41.25
12/04/1997,87.5
12/04/1996,70.0
12/04/1995,
12/03/2024,8.41
12/03/2023,
12/03/2022,
12/03/2021,160.48
12/03/2020,129.16
12/03/2019,4.77
12/03/2018,43.8
12/03/2017,
12/03/2016,
12/03/2015,165.2
12/03/2014,108.4
12/03/2013,79.6
12/03/2012,36.6
12/03/2011,
12/03/2010,44.8
12/03/2009,64.8
12/03/2008,38.4
12/03/2007,70.8
12/03/2006,
12/03/2005,
12/03/2004,67.4
12/03/2003,114.0
12/03/2002,75.6
12/03/2001,241.60001
12/03/2000,
12/03/1999,102.5
12/03/1998,40.0
12/03/1997,85.0
12/03/1996,70.0
12/03/1995,
12/02/2024,8.77
12/02/2023,
12/02/2022,16.52
12/02/2021,161.97
12/02/2020,125.48
12/02/2019,5.22
12/02/2018,
12/02/2017,
12/02/2016,24.8
12/02/2015,174.39999
12/02/2014,106.4
12/02/2013,77.0
12/02/2012,
12/02/2011,29.2
12/02/2010,44.6
12/02/2009,68.6
12/02/2008,36.2
12/02/2007,
12/02/2006,
12/02/2005,68.4
12/02/2004,66.6
12/02/2003,118.0
12/02/2002,75.8
12/02/2001,
12/02/2000,
12/02/1999,93.75
12/02/1998,41.25
12/02/1997,87.5
12/02/1996,67.5
12/02/1995,
12/01/2024,
12/01/2023,5.57
12/01/2022,16.85
12/01/2021,192.64999
12/01/2020,123.47
12/01/2019,
12/01/2018,
12/01/2017,28.6
12/01/2016,23.6
12/01/2015,171.0
12/01/2014,102.2
12/01/2013,
12/01/2012,
12/01/2011,27.8
12/01/2010,45.2
12/01/2009,64.2
12/01/2008,35.0
12/01/2007,
12/01/2006,98.2
12/01/2005,73.6
12/01/2004,68.4
12/01/2003,119.4
12/01/2002,
12/01/2001,
12/01/2000,171.0
12/01/1999,97.5
12/01/1998,38.75
12/01/1997,86.25
12/01/1996,
12/01/1995,
11/30/2024,
11/30/2023,5.5
11/30/2022,16.49
11/30/2021,208.63
11/30/2020,139.5
11/30/2019,
11/30/2018,41.4
11/30/2017,27.2
11/30/2016,24.2
11/30/2015,171.2
11/30/2014,
11/30/2013,
11/30/2012,37.0
11/30/2011,27.6
11/30/2010,44.6
11/30/2009,60.0
11/30/2008,
11/30/2007,72.8
11/30/2006,100.0
11/30/2005,69.4
11/30/2004,68.4
11/30/2003,
11/30/2002,
11/30/2001,226.0
11/30/2000,155.60001
11/30/1999,97.5
11/30/1998,42.5
11/30/1997,
11/30/1996,
11/30/1995,
11/29/2024,8.72
11/29/2023,5.56
11/29/2022,16.83
11/29/2021,193.96001
11/29/2020,
11/29/2019,4.85
11/29/2018,39.8
11/29/2017,26.8
11/29/2016,25.4
11/29/2015,
11/29/2014,
11/29/2013,74.4
11/29/2012,38.2
11/29/2011,25.2
11/29/2010,45.2
11/29/2009,
11/29/2008,
11/29/2007,73.2
11/29/2006,100.6
11/29/2005,65.6
11/29/2004,68.2
11/29/2003,
11/29/2002,75.8
11/29/2001,220.0
11/29/2000,155.0
11/29/1999,100.0
11/29/1998,
11/29/1997,
11/29/1996,70.0
11/29/1995,
11/28/2024,
11/28/2023,5.73
11/28/2022,16.64
11/28/2021,
11/28/2020,
11/28/2019,
11/28/2018,39.8
11/28/2017,27.2
11/28/2016,25.6
11/28/2015,
11/28/2014,106.8
11/28/2013,
11/28/2012,37.6
11/28/2011,26.2
11/28/2010,
11/28/2009,
11/28/2008,42.4
11/28/2007,68.4
11/28/2006,97.6
