Date,Volume
12/31/2024,2663900.0
12/31/2023,
12/31/2022,
12/31/2021,9096300.0
12/31/2020,3587300.0
12/31/2019,1324900.0
12/31/2018,311890.0
12/31/2017,
12/31/2016,
12/31/2015,212275.0
12/31/2014,190045.0
12/31/2013,164370.0
12/31/2012,22115.0
12/31/2011,
12/31/2010,25370.0
12/31/2009,83675.0
12/31/2008,13530.0
12/31/2007,25620.0
12/31/2006,
12/31/2005,
12/31/2004,
12/31/2003,
12/31/2002,
12/31/2001,
12/31/2000,
12/31/1999,
12/31/1998,
12/31/1997,
12/31/1996,
12/31/1995,
12/30/2024,3782300.0
12/30/2023,
12/30/2022,6329200.0
12/30/2021,5093300.0
12/30/2020,2796200.0
12/30/2019,734600.0
12/30/2018,
12/30/2017,
12/30/2016,319085.0
12/30/2015,135405.0
12/30/2014,71240.0
12/30/2013,197830.0
12/30/2012,
12/30/2011,47125.0
12/30/2010,24830.0
12/30/2009,72505.0
12/30/2008,6300.0
12/30/2007,
12/30/2006,
12/30/2005,108995.0
12/30/2004,
12/30/2003,
12/30/2002,
12/30/2001,
12/30/2000,
12/30/1999,
12/30/1998,
12/30/1997,
12/30/1996,
12/30/1995,
12/29/2024,
12/29/2023,7145600.0
12/29/2022,9369000.0
12/29/2021,7511800.0
12/29/2020,2919500.0
12/29/2019,
12/29/2018,
12/29/2017,235760.0
12/29/2016,298885.0
12/29/2015,154880.0
12/29/2014,73210.0
12/29/2013,
12/29/2012,
12/29/2011,35840.0
12/29/2010,12055.0
12/29/2009,52935.0
12/29/2008,10230.0
12/29/2007,
12/29/2006,134645.0
12/29/2005,97915.0
12/29/2004,
12/29/2003,
12/29/2002,
12/29/2001,
12/29/2000,
12/29/1999,
12/29/1998,
12/29/1997,
12/29/1996,
12/29/1995,
12/28/2024,
12/28/2023,7460100.0
12/28/2022,4989700.0
12/28/2021,12398100.0
12/28/2020,4840500.0
12/28/2019,
12/28/2018,261720.0
12/28/2017,195595.0
12/28/2016,252310.0
12/28/2015,151800.0
12/28/2014,
12/28/2013,
12/28/2012,10760.0
12/28/2011,27915.0
12/28/2010,26180.0
12/28/2009,81860.0
12/28/2008,
12/28/2007,16815.0
12/28/2006,98995.0
12/28/2005,134085.0
12/28/2004,
12/28/2003,
12/28/2002,
12/28/2001,
12/28/2000,
12/28/1999,
12/28/1998,
12/28/1997,
12/28/1996,
12/28/1995,
12/27/2024,3060300.0
12/27/2023,8607300.0
12/27/2022,6933100.0
12/27/2021,8934200.0
12/27/2020,
12/27/2019,774900.0
12/27/2018,589665.0
12/27/2017,185190.0
12/27/2016,218755.0
12/27/2015,
12/27/2014,
12/27/2013,134020.0
12/27/2012,20235.0
12/27/2011,24925.0
12/27/2010,30965.0
12/27/2009,
12/27/2008,
12/27/2007,10855.0
12/27/2006,55880.0
12/27/2005,110435.0
12/27/2004,
12/27/2003,
12/27/2002,
12/27/2001,
12/27/2000,
12/27/1999,
12/27/1998,
12/27/1997,
12/27/1996,
12/27/1995,
12/26/2024,2273500.0
12/26/2023,4775900.0
12/26/2022,
12/26/2021,
12/26/2020,
12/26/2019,1202100.0
12/26/2018,525815.0
12/26/2017,194225.0
12/26/2016,
12/26/2015,
12/26/2014,60455.0
12/26/2013,144915.0
12/26/2012,19675.0
12/26/2011,
12/26/2010,
12/26/2009,
12/26/2008,3090.0
12/26/2007,20835.0
12/26/2006,34910.0
12/26/2005,
12/26/2004,
12/26/2003,
12/26/2002,
12/26/2001,
12/26/2000,
12/26/1999,
12/26/1998,
12/26/1997,
12/26/1996,
12/26/1995,
12/25/2024,
12/25/2023,
12/25/2022,
12/25/2021,
12/25/2020,
12/25/2019,
12/25/2018,
12/25/2017,
12/25/2016,
12/25/2015,
12/25/2014,
12/25/2013,
12/25/2012,
12/25/2011,
12/25/2010,
12/25/2009,
12/25/2008,
12/25/2007,
12/25/2006,
12/25/2005,
12/25/2004,
12/25/2003,
12/25/2002,
12/25/2001,
12/25/2000,
12/25/1999,
12/25/1998,
12/25/1997,
12/25/1996,
12/25/1995,
12/24/2024,1475600.0
12/24/2023,
12/24/2022,
12/24/2021,
12/24/2020,3690600.0
12/24/2019,603100.0
12/24/2018,739135.0
12/24/2017,
12/24/2016,
12/24/2015,87030.0
12/24/2014,47465.0
12/24/2013,180430.0
12/24/2012,9055.0
12/24/2011,
12/24/2010,
12/24/2009,40775.0
12/24/2008,1595.0
12/24/2007,6010.0
12/24/2006,
12/24/2005,
12/24/2004,
12/24/2003,
12/24/2002,
12/24/2001,
12/24/2000,
12/24/1999,
12/24/1998,
12/24/1997,
12/24/1996,
12/24/1995,
12/23/2024,2134700.0
12/23/2023,
12/23/2022,4360100.0
12/23/2021,6085000.0
12/23/2020,6681400.0
12/23/2019,1070000.0
12/23/2018,
12/23/2017,
12/23/2016,220940.0
12/23/2015,120235.0
12/23/2014,192000.0
12/23/2013,560460.0
12/23/2012,
12/23/2011,35795.0
12/23/2010,15915.0
12/23/2009,71840.0
12/23/2008,4925.0
12/23/2007,
12/23/2006,
12/23/2005,268770.0
12/23/2004,
12/23/2003,
12/23/2002,
12/23/2001,
12/23/2000,
12/23/1999,
12/23/1998,
12/23/1997,
12/23/1996,
